dataset,canonical_name,semantic_column,source_column,source_columns_all,concept_label_ko,role,dtype,unit,valid_min,valid_max,missing_codes,available_waves_or_years,merge_method,review_status,leakage_or_use_note,official_source,reviewer,reviewed_at,codebook_page_or_table,review_note
KNHANES,current_smoking,BS3_1,BS3_1,BS3_1 | sm_presnt,현재 흡연 여부,feature,category,code,,,,"1998,2001,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",normalized_label,needs_codebook,,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,alcohol_frequency,BD1_11,BD1_11,BD1_11,1년간 음주 빈도,feature,category,code,,,,"2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",normalized_label,needs_codebook,,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,aerobic_activity,pa_aerobic,pa_aerobic,pa_aerobic,유산소 신체활동 실천,feature,category,code,,,,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",normalized_label,needs_codebook,,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,stress_level,BP1,BP1,BP1,평소 스트레스 정도,feature,category,code,,,,"1998,2001,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",single,needs_codebook,,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,systolic_bp,HE_SBP,HE_SBP,HE_SBP | HE_sbp,최종 수축기혈압,target_component,float,mmHg,50,300,,"2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",normalized_label,needs_codebook,고혈압 유병 타깃 정의에 포함될 수 있어 입력 금지,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,diastolic_bp,HE_DBP,HE_DBP,HE_DBP | HE_dbp,최종 이완기혈압,target_component,float,mmHg,30,200,,"2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",normalized_label,needs_codebook,고혈압 유병 타깃 정의에 포함될 수 있어 입력 금지,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,fasting_glucose,HE_GLU,HE_GLU,HE_GLU | HE_glu,공복혈당,target_component,float,mg/dL,20,800,,"1998,2001,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",normalized_label,needs_codebook,당뇨병 유병 타깃 정의에 포함될 수 있어 입력 금지,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,hba1c,HE_HbA1c,HE_HbA1c,HE_HbA1c,당화혈색소,target_component,float,%,2,25,,"1998,2001,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",single,needs_codebook,당뇨병 유병 타깃 정의에 포함될 수 있어 입력 금지,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,hypertension_prevalence,HE_HP,DI1_lt,DI1_lt | HE_HP | HE_hp,고혈압 유병 여부,target,category,code,,,,"2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",normalized_label,needs_codebook,타깃 전용,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,diabetes_prevalence,HE_DM,HE_DM,HE_DM,당뇨병 유병 여부,target,category,code,,,,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",normalized_label,needs_codebook,타깃 전용,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,survey_weight,wt_itvex,wt_itvex,wt_itvex,건강설문·검진 가중치,survey_design,float,weight,0,,,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",normalized_label,needs_codebook,예측 특성으로 사용 금지,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,strata,kstrata,kstrata,kstrata,분산추정층,survey_design,category,code,,,,"1998,2001,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",normalized_label,needs_codebook,예측 특성으로 사용 금지,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
KNHANES,psu,psu,psu,psu,조사구,survey_design,category,code,,,,"1998,2001,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",normalized_label,needs_codebook,예측 특성으로 사용 금지,https://knhanes.kdca.go.kr/knhanes/main.do,,,,공식 코드북의 값 라벨·결측코드·단위 확인 전 사용 금지
