dataset_checked,review_priority,dataset,semantic_column,canonical_aliases,original_column_names,variable_labels,first_wave_or_year,last_wave_or_year,wave_or_years,data_types,source_file_count_sum,merged_canonical_count,merge_method,review_status,decision_note
KLoSA,high,KLoSA,n_of_newjob02,n_of_newjob02 | n_of_newjob03 | n_of_newjob04 | n_of_newjob05 | n_of_newjob06 | n_of_newjob07 | n_of_newjob08 | n_of_newjob09 | n_of_newjob10,n_of_newjob02 | n_of_newjob03 | n_of_newjob04 | n_of_newjob05 | n_of_newjob06 | n_of_newjob07 | n_of_newjob08 | n_of_newjob09 | n_of_newjob10,지난조사 이후 현재 일자리 이전의 사이 일자리 수,2,10,"2,3,4,5,6,7,8,9,10",structured,9,9,normalized_label,needs_review,
KLoSA,high,KLoSA,pid,pid,pid,id | 개인 아이디 | 개인아이디 | 아이디,1,10,"1,2,3,4,5,6,7,8,9,10",light | raw | structured,31,1,normalized_label,needs_review,
KLoSA,medium,KLoSA,rw01bb141_08,rw01bb141_08 | w__Bb195_08w5,rw01bb141_08 | w05Bb195_08w5,8번째 기타가족으로부터 받은 정기적인 금전적 지원의 개월수,1,5,"1,5",raw | structured,2,2,normalized_label,needs_review,
KLoSA,high,KLoSA,rw01bb148_03m05,rw01bb148_03m05 | w__Bb202_03m06w5 | w__bb148_03m06a,rw01bb148_03m05 | w05Bb202_03m06w5 | w06Bb202_03m06w5 | w07Bb202_03m06w5 | w08Bb202_03m06w5 | w09Bb202_03m06w5 | w10Bb202_03m06w5 | w05bb148_03m06a | w06bb148_03m06a | w07bb148_03m06a | w08bb148_03m06a | w09bb148_03m06a | w10bb148_03m06a,3번째 기타가족으로부터 받은 비금전적 수령의 종류_(6)의류 및 신발,1,10,"1,5,6,7,8,9,10",raw | structured,14,3,normalized_label,needs_review,
KLoSA,high,KLoSA,rw01bb148_06m05,rw01bb148_06m05 | w__Bb202_06m06w5 | w__bb148_06m06a,rw01bb148_06m05 | w05Bb202_06m06w5 | w06Bb202_06m06w5 | w07Bb202_06m06w5 | w08Bb202_06m06w5 | w09Bb202_06m06w5 | w10Bb202_06m06w5 | w05bb148_06m06a | w06bb148_06m06a | w07bb148_06m06a | w08bb148_06m06a | w09bb148_06m06a | w10bb148_06m06a,6번째 기타가족으로부터 받은 비금전적 수령의 종류_(6)의류 및 신발,1,10,"1,5,6,7,8,9,10",raw | structured,14,3,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__A001m,w__A001m | w__A002m,w01A001m | w05A001m | w01A002m | w02A002m | w03A002m | w04A002m | w05A002m | w06A002m | w07A002m | w08A002m | w09A002m | w10A002m,응답자의 출생월(단위: 월2자리),1,10,"1,2,3,4,5,6,7,8,9,10",light | raw | structured | raw,31,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__A001y,w__A001y | w__A002y,w01A001y | w05A001y | w01A002y | w02A002y | w03A002y | w04A002y | w05A002y | w06A002y | w07A002y | w08A002y | w09A002y | w10A002y,응답자의 출생년도(단위: 년4자리),1,10,"1,2,3,4,5,6,7,8,9,10",light | raw | structured | raw,31,2,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A008,w__A008 | w__A020,w01A008 | w02A008 | w03A008 | w04A008 | w05A008 | w06A008 | w07A008 | w08A008 | w09A008 | w10A008 | w01A020 | w02A020 | w03A020 | w04A020 | w05A020 | w06A020 | w07A020 | w08A020 | w09A020 | w10A020,배우자의 출생년도(단위: 년4자리) | 배우자의 출생년월(단위: 년4자리+월2자리) | 배우자의 출생년월(단위: 년4자리+월2자리) | 지난 기본조사 이후 추가 정규학력 취득여부,1,10,"1,2,3,4,5,6,7,8,9,10",raw | structured,38,2,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A009,w__A009 | w__A022,w01A009 | w02A009 | w03A009 | w04A009 | w05A009 | w06A009 | w07A009 | w08A009 | w09A009 | w10A009 | w01A022 | w02A022 | w03A022 | w04A022 | w05A022 | w06A022 | w07A022 | w08A022 | w09A022 | w10A022,배우자 출생연도 | 배우자의 학력(학교) | 추가 취득정규학력(학교) | 배우자의 학력(학교),1,10,"1,2,3,4,5,6,7,8,9,10",raw | structured,39,2,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A011,w__A011 | w__A024,w01A011 | w02A011 | w03A011 | w04A011 | w05A011 | w06A011 | w07A011 | w08A011 | w09A011 | w10A011 | w01A024 | w02A024 | w03A024 | w04A024 | w05A024 | w06A024 | w07A024 | w08A024 | w09A024 | w10A024,배우자의 학력(이수여부) | 배우자의 학력(이수여부) | 지난 기본조사 당시 응답자의 혼인상태 재확인,1,10,"1,2,3,4,5,6,7,8,9,10",raw | structured,38,2,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A012,w__A012 | w__A028 | w__ecoact_s,w01A012 | w02A012 | w03A012 | w04A012 | w05A012 | w06A012 | w07A012 | w08A012 | w09A012 | w10A012 | w01A028 | w02A028 | w03A028 | w04A028 | w05A028 | w06A028 | w07A028 | w08A028 | w09A028 | w10A028 | w01ecoact_s | w02ecoact_s | w03ecoact_s | w04ecoact_s | w05ecoact_s | w06ecoact_s | w07ecoact_s | w08ecoact_s | w09ecoact_s | w10ecoact_s,배우자 졸업 여부 | 배우자의 고용상태 | 지난 기본조사 당시 응답자의 혼인상태 | 배우자의 고용상태,1,10,"1,2,3,4,5,6,7,8,9,10",light | structured | raw | structured,60,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A015,w__A015 | w__A031,w01A015 | w05A015 | w04A031 | w07A031 | w10A031,기타종교 | 기타종교 | 응답자 종교,1,10,"1,4,5,7,10",raw,5,2,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A016,w__A016 | w__A017 | w__A032,w01A016 | w02A016 | w03A016 | w04A016 | w05A016 | w06A016 | w07A016 | w08A016 | w09A016 | w10A016 | w01A032 | w02A032 | w03A032 | w04A032 | w05A032 | w06A032 | w07A032 | w08A032 | w09A032 | w10A032 | w02A017 | w03A017 | w04A017 | w05A017 | w06A017 | w07A017 | w08A017 | w09A017 | w10A017,지난 기본조사 당시 배우자의 성명과 일치여부 | 지난 당시 배우자의 성명과 일치여부 | 친한 사람들과 만나는 횟수 | 친한 사람들과 만나는 횟수 | 친한 사람들과 만나는 횟수 | 현 배우자의 지난 기본 조사 당시 패널대상자 여부 | 현 배우자의 지난 조사 당시 패널대상자 여부,1,10,"1,2,3,4,5,6,7,8,9,10",light | raw | structured | raw | structured,67,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A017m01,w__A017m01 | w__A018m01 | w__A033m01,w01A017m01 | w01A033m01 | w02A033m01 | w03A033m01 | w04A033m01 | w05A033m01 | w06A033m01 | w07A033m01 | w08A033m01 | w09A033m01 | w10A033m01 | w05A018m01,참여하고 있는 모임(단체)_①종교모임,1,10,"1,2,3,4,5,6,7,8,9,10",raw | raw | structured,21,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A017m02,w__A017m02 | w__A018m02 | w__A033m02,w01A017m02 | w01A033m02 | w02A033m02 | w03A033m02 | w04A033m02 | w05A033m02 | w06A033m02 | w07A033m02 | w08A033m02 | w09A033m02 | w10A033m02 | w05A018m02,"참여하고 있는 모임(단체)_②친목모임(계모임, 노인정 등)",1,10,"1,2,3,4,5,6,7,8,9,10",raw | raw | structured,21,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A017m03,w__A017m03 | w__A018m03 | w__A033m03,w01A017m03 | w01A033m03 | w02A033m03 | w03A033m03 | w04A033m03 | w05A033m03 | w06A033m03 | w07A033m03 | w08A033m03 | w09A033m03 | w10A033m03 | w05A018m03,참여하고 있는 모임(단체)_③여가/문화/스포츠 관련단체(노인대학 등),1,10,"1,2,3,4,5,6,7,8,9,10",raw | raw | structured,21,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A017m04,w__A017m04 | w__A018m04 | w__A033m04,w01A017m04 | w01A033m04 | w02A033m04 | w03A033m04 | w04A033m04 | w05A033m04 | w06A033m04 | w07A033m04 | w08A033m04 | w09A033m04 | w10A033m04 | w05A018m04,참여하고 있는 모임(단체)_④동창회/향우회/종친회,1,10,"1,2,3,4,5,6,7,8,9,10",raw | raw | structured,21,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A017m05,w__A017m05 | w__A018m05 | w__A033m05,w01A017m05 | w01A033m05 | w02A033m05 | w03A033m05 | w04A033m05 | w05A033m05 | w06A033m05 | w07A033m05 | w08A033m05 | w09A033m05 | w10A033m05 | w05A018m05,참여하고 있는 모임(단체)_⑤자원봉사,1,10,"1,2,3,4,5,6,7,8,9,10",raw | raw | structured,21,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A017m06,w__A017m06 | w__A018m06 | w__A033m06,w01A017m06 | w01A033m06 | w02A033m06 | w03A033m06 | w04A033m06 | w05A033m06 | w06A033m06 | w07A033m06 | w08A033m06 | w09A033m06 | w10A033m06 | w05A018m06,참여하고 있는 모임(단체)_⑥정당/시민단체/이익단체,1,10,"1,2,3,4,5,6,7,8,9,10",raw | raw | structured,21,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A017m07,w__A017m07 | w__A018m07 | w__A033m07,w01A017m07 | w01A033m07 | w02A033m07 | w03A033m07 | w04A033m07 | w05A033m07 | w06A033m07 | w07A033m07 | w08A033m07 | w09A033m07 | w10A033m07 | w05A018m07,참여하고 있는 모임(단체)_⑦기타,1,10,"1,2,3,4,5,6,7,8,9,10",raw | raw | structured,21,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A017m08,w__A017m08 | w__A018m08 | w__A033m08,w01A017m08 | w01A033m08 | w02A033m08 | w03A033m08 | w04A033m08 | w05A033m08 | w06A033m08 | w07A033m08 | w08A033m08 | w09A033m08 | w10A033m08 | w05A018m08,참여하고 있는 모임(단체)_⑧없음,1,10,"1,2,3,4,5,6,7,8,9,10",raw | raw | structured,21,3,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__A018,w__A018 | w__A034,w01A018 | w04A034 | w07A034 | w10A034,기타 참여 모임(단체),1,10,"1,4,7,10",raw,4,2,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A020_1,w__A019_01 | w__A020_1 | w__A035_01,w01A019_01 | w01A035_01 | w02A035_01 | w03A035_01 | w04A035_01 | w05A035_01 | w06A035_01 | w07A035_01 | w08A035_01 | w09A035_01 | w10A035_01 | w05A020_1,모임(단체)의 참여횟수_①종교모임,1,10,"1,2,3,4,5,6,7,8,9,10",light | raw | structured | raw,31,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A020_2,w__A019_02 | w__A020_2 | w__A035_02,w01A019_02 | w01A035_02 | w02A035_02 | w03A035_02 | w04A035_02 | w05A035_02 | w06A035_02 | w07A035_02 | w08A035_02 | w09A035_02 | w10A035_02 | w05A020_2,"모임(단체)의 참여횟수_②친목모임(계모임, 노인정 등)",1,10,"1,2,3,4,5,6,7,8,9,10",light | raw | structured | raw,31,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A020_3,w__A019_03 | w__A020_3 | w__A035_03,w01A019_03 | w01A035_03 | w02A035_03 | w03A035_03 | w04A035_03 | w05A035_03 | w06A035_03 | w07A035_03 | w08A035_03 | w09A035_03 | w10A035_03 | w05A020_3,모임(단체)의 참여횟수_③여가/문화/스포츠 관련단체(노인대학 등),1,10,"1,2,3,4,5,6,7,8,9,10",light | raw | structured | raw,31,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A020_4,w__A019_04 | w__A020_4 | w__A035_04,w01A019_04 | w01A035_04 | w02A035_04 | w03A035_04 | w04A035_04 | w05A035_04 | w06A035_04 | w07A035_04 | w08A035_04 | w09A035_04 | w10A035_04 | w05A020_4,모임(단체)의 참여횟수_④동창회/향우회/종친회,1,10,"1,2,3,4,5,6,7,8,9,10",light | raw | structured | raw,31,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A020_5,w__A019_05 | w__A020_5 | w__A035_05,w01A019_05 | w01A035_05 | w02A035_05 | w03A035_05 | w04A035_05 | w05A035_05 | w06A035_05 | w07A035_05 | w08A035_05 | w09A035_05 | w10A035_05 | w05A020_5,모임(단체)의 참여횟수_⑤자원봉사,1,10,"1,2,3,4,5,6,7,8,9,10",light | raw | structured | raw,31,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A020_6,w__A019_06 | w__A020_6 | w__A035_06,w01A019_06 | w01A035_06 | w02A035_06 | w03A035_06 | w04A035_06 | w05A035_06 | w06A035_06 | w07A035_06 | w08A035_06 | w09A035_06 | w10A035_06 | w05A020_6,모임(단체)의 참여횟수_⑥정당/시민단체/이익단체,1,10,"1,2,3,4,5,6,7,8,9,10",light | raw | structured | raw,31,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A020_7,w__A019_07 | w__A020_7 | w__A035_07,w01A019_07 | w01A035_07 | w02A035_07 | w03A035_07 | w04A035_07 | w05A035_07 | w06A035_07 | w07A035_07 | w08A035_07 | w09A035_07 | w10A035_07 | w05A020_7,모임(단체)의 참여횟수_⑦기타,1,10,"1,2,3,4,5,6,7,8,9,10",light | raw | structured | raw,31,3,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A021,w__A021 | w__A036 | w__A037 | w__A038,w02A021 | w03A021 | w04A021 | w05A021 | w06A021 | w07A021 | w08A021 | w09A021 | w10A021 | w02A036 | w03A036 | w04A036 | w05A036 | w06A036 | w07A036 | w08A036 | w09A036 | w10A036 | w02A037 | w03A037 | w04A037 | w06A037 | w07A037 | w08A037 | w09A037 | w10A037 | w06A038 | w07A038 | w08A038 | w09A038 | w10A038,"A 대리인관계 | A 대리인관계 | A 도움정도 | A영역 대리인 관계 | 도움받은 대리인(A영역) | A 도움정도 | A영역 도움정도 | 가구주 여부 | 도움받은 정도(A영역) | 가구주 여부 | 배우자의 학교(학력, 졸업상태) 재확인",2,10,"2,3,4,5,6,7,8,9,10",light | raw | structured | raw | structured,63,4,normalized_label,needs_review,
KLoSA,high,KLoSA,w__A021_1,w__A021_1 | w__A036_01 | w__A036_1,w04A036_01 | w05A021_1 | w05A036_1 | w06A036_1 | w07A036_1 | w08A036_1 | w09A036_1 | w10A036_1,가구주(응답자 기준 관계),4,10,"4,5,6,7,8,9,10",light | raw | structured | light | structured | raw,21,3,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__Addic,w__Addic | w__addic,w01Addic | w02addic | w03addic | w04addic | w05addic | w06addic | w07addic | w08addic | w09addic | w10addic,음주태도,1,10,"1,2,3,4,5,6,7,8,9,10",light | structured,20,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__Adl,w__Adl | w__adl,w01Adl | w02adl | w03adl | w04adl | w05adl | w06adl | w07adl | w08adl | w09adl | w10adl,ADL 지수화,1,10,"1,2,3,4,5,6,7,8,9,10",light | structured,20,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__Agriculture,w__Agriculture | w__agriculture,w01Agriculture | w02agriculture | w03agriculture | w04agriculture | w05agriculture | w06agriculture | w07agriculture | w08agriculture | w09agriculture | w10agriculture,지난해 농어업소득,1,10,"1,2,3,4,5,6,7,8,9,10",light | structured,20,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__Alc,w__Alc | w__alc,w01Alc | w02alc | w03alc | w04alc | w05alc | w06alc | w07alc | w08alc | w09alc | w10alc,음주자 구분,1,10,"1,2,3,4,5,6,7,8,9,10",light | structured,20,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__Annuity,w__Annuity | w__annuity,w01Annuity | w02annuity | w03annuity | w04annuity | w05annuity | w06annuity | w07annuity | w08annuity | w09annuity | w10annuity,지난해 공적연금소득,1,10,"1,2,3,4,5,6,7,8,9,10",light | structured,20,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__Assetinc,w__Assetinc | w__assetinc,w01Assetinc | w02assetinc | w03assetinc | w04assetinc | w05assetinc | w06assetinc | w07assetinc | w08assetinc | w09assetinc | w10assetinc,지난해 자산소득,1,10,"1,2,3,4,5,6,7,8,9,10",light | structured,20,2,normalized_label,needs_review,
KLoSA,high,KLoSA,w__B001,w__B001 | w__s_sum,w01B001 | w05B001 | w01s_sum | w02s_sum | w03s_sum | w04s_sum | w05s_sum | w06s_sum | w07s_sum | w08s_sum | w09s_sum | w10s_sum,생존 형제/자매 수(단위: 명) | 생존 형제/자매 수(단위: 명) | 생존 형제자매수,1,10,"1,2,3,4,5,6,7,8,9,10",light | structured | raw | structured,24,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__B007,w__B007 | w__b007,w01B007 | w05b007,아버지 학력(학교),1,5,"1,5",raw | structured | structured,3,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__B009,w__B009 | w__b009,w01B009 | w05b009,아버지 학력(이수여부),1,5,"1,5",raw | structured | structured,3,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__B010,w__B010 | w__b010,w01B010 | w05b010,아버지 연령(단위: 세),1,5,"1,5",raw | structured | structured,3,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__B015,w__B015 | w__b015,w01B015 | w05b015,아버지 사망 시 연령(5차 신규) | 아버지의 사망시 연령(단위: 세),1,5,"1,5",raw | structured | structured,3,2,normalized_name,needs_review,
KLoSA,medium,KLoSA,w__B017,w__B017 | w__b017,w01B017 | w05b017,어머니 학력(학교),1,5,"1,5",raw | structured | structured,3,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__B019,w__B019 | w__b019,w01B019 | w05b019,어머니 학력(이수여부),1,5,"1,5",raw | structured | structured,3,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__B021,w__B021 | w__b021,w01B021 | w05b021,어머니 연령(단위: 세),1,5,"1,5",raw | structured | structured,3,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__B025,w__B025 | w__b025,w01B025 | w05b025,어머니 사망 시 연령(5차 신규) | 어머니의 사망시 연령(단위: 세),1,5,"1,5",raw | structured | structured,3,2,normalized_name,needs_review,
KLoSA,high,KLoSA,w__Ba005_02m,w__Ba005_02m | w__Ba005_03m,w02Ba005_02m | w07Ba005_02m | w08Ba005_02m | w09Ba005_02m | w10Ba005_02m | w07Ba005_03m | w09Ba005_03m | w10Ba005_03m,02번째 자녀 사망 시기 년월(단위: 월2자리) | 02번째 자녀 사망 시기 월(단위: 월2자리) | 02번째 자녀 사망 시기 년월(단위: 월2자리) | 03번째 자녀 사망 시기 년월(단위: 월2자리),2,10,"2,7,8,9,10",raw | structured,15,2,normalized_label,needs_review,
KLoSA,high,KLoSA,w__Ba005_02y,w__Ba005_02y | w__Ba005_03y,w02Ba005_02y | w07Ba005_02y | w08Ba005_02y | w09Ba005_02y | w10Ba005_02y | w07Ba005_03y | w09Ba005_03y | w10Ba005_03y,02번째 자녀 사망 시기 년(단위: 년4자리) | 02번째 자녀 사망 시기 년월(단위: 년4자리) | 02번째 자녀 사망 시기 년월(단위: 년4자리) | 03번째 자녀 사망 시기 년월(단위: 년4자리),2,10,"2,7,8,9,10",raw | structured,15,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__Ba005a3,w__Ba005_03 | w__Ba005a3,w03Ba005_03 | w04Ba005_03 | w07Ba005_03 | w09Ba005_03 | w10Ba005_03 | w07Ba005a3,03번째 자녀 사망 시기 년월(단위: 년4자리+월2자리),3,10,"3,4,7,9,10",raw | structured | structured,10,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__Ba005a4,w__Ba005_04 | w__Ba005a4,w03Ba005_04 | w07Ba005_04 | w10Ba005_04 | w07Ba005a4,04번째 자녀 사망 시기 년월(단위: 년4자리+월2자리),3,10,"3,7,10",raw | structured | structured,6,2,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__Ba005a5,w__Ba005_05 | w__Ba005a5,w03Ba005_05 | w07Ba005_05 | w07Ba005a5,05번째 자녀 사망 시기 년월(단위: 년4자리+월2자리),3,7,"3,7",raw | structured,3,2,normalized_label,needs_review,
KLoSA,high,KLoSA,w__Ba014_02,w__Ba014_02 | w__Ba014_02w5 | w__ba014_02,w02ba014_02 | w03ba014_02 | w04ba014_02 | w05Ba014_02w5 | w06Ba014_02w5 | w07Ba014_02w5 | w08Ba014_02w5 | w09Ba014_02 | w10Ba014_02,2번째 자녀 작년 동거기간(월) | 2번째 자녀와 작년 동거 기간(개월수) | 2번째 자녀와 동거기간 | 2번째 자녀와 작년 동거 기간(개월수),2,10,"2,3,4,5,6,7,8,9,10",raw | structured | structured,16,3,normalized_label | normalized_name,needs_review,
KLoSA,high,KLoSA,w__Ba014_04,w__Ba014_04 | w__Ba014_04w5 | w__ba014_04,w02ba014_04 | w03ba014_04 | w04ba014_04 | w05Ba014_04w5 | w06Ba014_04w5 | w07Ba014_04w5 | w08Ba014_04w5 | w09Ba014_04 | w10Ba014_04,4번째 자녀 작년 동거기간(월) | 4번째 자녀와 작년 동거 기간(개월수) | 4번째 자녀와 동거기간 | 4번째 자녀와 작년 동거 기간(개월수),2,10,"2,3,4,5,6,7,8,9,10",raw | structured | structured,16,3,normalized_label | normalized_name,needs_review,
KLoSA,high,KLoSA,w__Ba014_06,w__Ba014_06 | w__Ba014_06w5 | w__ba014_06,w02ba014_06 | w03ba014_06 | w04ba014_06 | w05Ba014_06w5 | w06Ba014_06w5 | w07Ba014_06w5 | w08Ba014_06w5 | w09Ba014_06 | w10Ba014_06,6번째 자녀 작년 동거기간(월) | 6번째 자녀와 작년 동거 기간(개월수) | 6번째 자녀와 동거기간 | 6번째 자녀와 작년 동거 기간(개월수),2,10,"2,3,4,5,6,7,8,9,10",raw | structured | structured,16,3,normalized_label | normalized_name,needs_review,
KLoSA,medium,KLoSA,w__Ba015_01,w__Ba015_01,w01Ba015_01 | w02Ba015_01 | w03Ba015_01 | w04Ba015_01 | w05Ba015_01 | w06Ba015_01 | w07Ba015_01 | w08Ba015_01 | w09Ba015_01 | w10Ba015_01,1번째 자녀의 주택 소유여부 | 1번째 자녀의 주택소유여부,1,10,"1,2,3,4,5,6,7,8,9,10",raw | structured,21,1,normalized_label,needs_review,
KLoSA,medium,KLoSA,w__Ba015_02,w__Ba015_02,w01Ba015_02 | w02Ba015_02 | w03Ba015_02 | w04Ba015_02 | w05Ba015_02 | w06Ba015_02 | w07Ba015_02 | w08Ba015_02 | w09Ba015_02 | w10Ba015_02,2번째 자녀의 주택 소유여부 | 2번째 자녀의 주택소유여부,1,10,"1,2,3,4,5,6,7,8,9,10",raw | structured,21,1,normalized_label,needs_review,
